City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
480,Zalegoshch,RU,52.9008,36.8869,56.43,63,100,12.97,light rain
481,Kentau,KZ,43.5206,68.5094,70.66,29,0,9.86,clear sky
482,Boyolangu,ID,-8.1181,111.8935,84.18,59,91,13.51,overcast clouds
483,Coihaique,CL,-45.5752,-72.0662,42.75,93,75,4.61,light rain
484,Snezhnogorsk,RU,69.1933,33.2531,40.78,73,87,17.83,overcast clouds
485,Nueve De Julio,AR,-35.4444,-60.8831,50.79,89,100,29.12,light rain
486,Zwedru,LR,6.0667,-8.1281,73.51,98,100,2.19,overcast clouds
487,Batemans Bay,AU,-35.7167,150.1833,75.9,34,66,9.6,broken clouds
488,Claresholm,CA,50.0333,-113.5852,69.66,31,3,14.72,clear sky
489,Chandbali,IN,20.7833,86.7667,87.75,67,100,4.52,overcast clouds
490,Baoqing,CN,46.3317,132.2111,72.52,67,96,4.03,overcast clouds
491,Vardo,NO,70.3705,31.1107,39.4,88,96,19.04,overcast clouds
492,Araouane,ML,18.9048,-3.5265,90.23,37,43,9.01,scattered clouds
493,Strezhevoy,RU,60.7333,77.5889,46.38,60,100,10.92,overcast clouds
494,Khani,GE,41.9563,42.9566,58.57,67,5,2.68,clear sky
495,Anadyr,RU,64.75,177.4833,41.5,87,75,15.66,light intensity drizzle
496,Suratgarh,IN,29.3167,73.9,92.01,49,0,10.74,clear sky
497,Mosquera,CO,4.7059,-74.2302,53.69,71,40,4.61,scattered clouds
498,San Quintin,MX,30.4833,-115.95,71.26,84,86,7.47,overcast clouds
499,Ginda,IN,30.6945,78.4932,64.69,96,100,2.13,overcast clouds
500,Two Rivers,US,44.1539,-87.5693,58.06,91,1,1.01,clear sky
501,Eureka,US,40.8021,-124.1637,54.57,93,60,3.89,broken clouds
502,Mogadishu,SO,2.0371,45.3438,78.66,82,99,18.81,overcast clouds
503,Waddan,LY,29.1614,16.139,72.73,68,0,5.21,clear sky
504,Kokkola,FI,63.8385,23.1307,53.92,86,0,4.61,clear sky
505,Moree,AU,-29.4667,149.85,75.22,31,1,5.75,clear sky
506,Vanimo,PG,-2.6741,141.3028,83.93,76,63,11.95,broken clouds
507,Niquelandia,BR,-14.4739,-48.4597,82.67,30,98,3.87,overcast clouds
508,Amapa,BR,1.0,-52.0,70.66,99,85,1.61,overcast clouds
509,Hobbs,US,32.7026,-103.136,78.06,64,0,5.01,clear sky
510,Clarence Town,AU,-32.5833,151.7833,83.14,25,78,11.77,broken clouds
511,Machinga,MW,-15.1685,35.3,67.68,72,7,3.42,clear sky
512,Viedma,AR,-40.8135,-62.9967,44.38,95,56,5.01,broken clouds
513,Bom Jesus,BR,-9.0744,-44.3586,71.76,41,30,2.8,scattered clouds
514,Ust-Barguzin,RU,53.45,108.9833,52.7,61,91,2.62,overcast clouds
515,Verkhnevilyuysk,RU,63.4453,120.3167,65.41,52,20,4.36,few clouds
516,Waspan,NI,14.7419,-83.9717,74.68,98,44,2.46,scattered clouds
517,Guanica,PR,17.9716,-66.908,80.06,87,51,1.01,broken clouds
518,Bugiri,UG,0.5714,33.7417,68.16,81,91,3.42,overcast clouds
519,Katobu,ID,-4.9408,122.5276,80.13,85,100,8.46,light rain
520,Bhadrapur,NP,26.544,88.0944,88.0,67,70,5.39,broken clouds
521,Mitsamiouli,KM,-11.3847,43.2844,76.62,76,24,9.84,light rain
522,Calama,CL,-22.4667,-68.9333,47.95,14,4,5.97,clear sky
523,Lorengau,PG,-2.0226,147.2712,79.12,87,100,15.55,overcast clouds
524,Mbandaka,CD,0.0487,18.2603,68.83,94,25,2.77,scattered clouds
525,Alvorada,BR,-12.48,-49.1247,83.37,26,51,4.47,broken clouds
526,Pangnirtung,CA,66.1451,-65.7125,35.56,87,2,10.51,clear sky
527,Ribeira Brava,PT,32.65,-17.0667,74.03,80,5,1.57,clear sky
528,Leskolovo,RU,60.2634,30.4546,58.12,94,67,7.38,broken clouds
529,Biak,ID,-0.9131,122.8766,74.71,92,95,11.1,light rain
530,Cabot,US,34.9745,-92.0165,70.86,65,1,0.0,clear sky
531,Polunochnoye,RU,60.8697,60.4153,46.71,78,98,8.32,overcast clouds
532,Alofi,NU,-19.0595,-169.9187,78.4,76,43,3.18,scattered clouds
533,Codrington,AU,-38.2667,141.9667,66.25,57,100,18.3,overcast clouds
534,Samarai,PG,-10.6167,150.6667,78.53,83,100,19.48,light rain
535,Afikpo,NG,5.8931,7.9374,73.47,96,99,1.7,overcast clouds
536,Archidona,ES,37.0965,-4.3887,66.76,88,55,4.38,broken clouds
537,Clearwater,US,27.9659,-82.8001,83.91,78,1,7.0,clear sky
538,Igrim,RU,63.1906,64.4162,46.27,62,36,8.3,scattered clouds
539,Amahai,ID,-3.3333,128.9167,82.0,81,84,10.96,broken clouds
540,Flin Flon,CA,54.7682,-101.865,52.43,76,63,4.72,broken clouds
541,Nikolayevsk-Na-Amure,RU,53.1406,140.73,66.9,52,100,5.7,overcast clouds
542,Loa Janan,ID,-0.583,117.095,80.1,86,100,1.52,overcast clouds
543,Ormara,PK,25.2088,64.6357,80.76,87,95,13.35,overcast clouds
544,Arona,ES,28.0996,-16.681,68.52,78,20,19.57,few clouds
545,Dothan,US,31.2232,-85.3905,72.97,97,90,0.0,overcast clouds
546,Ongandjera,NA,-17.8833,15.0667,64.31,24,5,10.13,clear sky
547,Tomatlan,MX,19.9333,-105.25,72.59,94,100,3.62,overcast clouds
548,Jalu,LY,29.0331,21.5482,73.18,63,0,6.33,clear sky
549,Baikunthpur,IN,23.25,82.55,82.0,72,60,8.3,broken clouds
550,Manavalakurichi,IN,8.1333,77.3,84.29,63,54,15.82,broken clouds
551,Semnan,IR,35.5729,53.3971,77.72,37,0,1.19,clear sky
552,Spirit River,CA,55.7833,-118.8361,54.75,78,100,4.36,overcast clouds
553,Puro,PH,12.4841,123.3827,84.56,73,100,13.87,overcast clouds
554,Massakory,TD,12.996,15.7293,79.47,70,93,6.38,overcast clouds
555,Tingi,TZ,-11.3,35.0333,63.84,64,10,6.6,clear sky
556,Shelburne,CA,44.0787,-80.2041,57.67,94,39,9.75,scattered clouds
557,Buraydah,SA,26.326,43.975,88.52,16,7,2.86,clear sky
558,Skegness,GB,53.1436,0.3363,64.58,79,97,5.44,overcast clouds
559,Auki,SB,-8.7676,160.7034,82.4,72,83,8.5,broken clouds
560,Fort Nelson,CA,58.8053,-122.7002,50.41,89,100,2.84,light rain
561,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.89,98,100,1.36,overcast clouds
562,Port Augusta,AU,-32.5,137.7667,86.14,9,7,17.47,clear sky
563,Springbok,ZA,-29.6643,17.8865,54.12,17,2,11.52,clear sky
564,Erdenet,MN,49.0333,104.0833,54.09,63,25,4.14,scattered clouds
565,Kutum,SD,14.2,24.6667,72.12,75,100,3.78,overcast clouds
566,Wynyard,AU,-41.0,145.7167,57.67,75,98,17.65,light rain
567,Ucluelet,CA,48.9329,-125.5528,66.09,95,100,4.72,light rain
568,Oktyabrskoye,RU,43.0645,44.7417,48.34,100,74,0.0,fog
569,Macas,EC,-2.3167,-78.1167,63.99,97,26,3.47,light rain
570,Olafsvik,IS,64.8945,-23.7142,50.11,81,15,13.02,few clouds
571,Montes Altos,BR,-5.8333,-47.0667,75.61,64,48,3.15,scattered clouds
572,Luganville,VU,-15.5333,167.1667,76.3,76,98,15.21,overcast clouds
573,Portland,US,45.5234,-122.6762,76.08,65,20,1.01,few clouds
574,Slave Lake,CA,55.2834,-114.769,60.98,65,99,5.23,overcast clouds
575,Wad Madani,SD,14.4012,33.5199,78.49,68,88,14.0,overcast clouds
576,Samana,DO,19.2056,-69.3369,77.5,91,16,4.47,few clouds
577,Ngunguru,NZ,-35.6167,174.5,59.16,67,38,12.5,scattered clouds
578,Sembe,CG,1.6481,14.5806,68.47,96,53,1.41,broken clouds
579,Esfahan,IR,32.6572,51.6776,67.64,21,0,5.41,clear sky
