City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sogod,PH,2021-09-09 04:06:42,10.3847,124.9814,84.87,75,100,8.66
68,Syriam,MM,2021-09-09 04:06:43,16.7722,96.2378,84.31,84,75,3.44
69,Ribeira Grande,PT,2021-09-09 04:06:43,38.5167,-28.7,72.09,86,58,9.78
70,Juybar,IR,2021-09-09 04:06:43,36.6412,52.9124,73.24,81,69,9.69
71,Aldan,RU,2021-09-09 04:06:44,58.6031,125.3894,60.13,58,100,6.22
72,Acarau,BR,2021-09-09 04:06:44,-2.8856,-40.12,77.94,84,15,16.26
73,Cap Malheureux,MU,2021-09-09 04:06:44,-19.9842,57.6142,70.47,77,5,7.0
74,Hualmay,PE,2021-09-09 04:06:45,-11.0964,-77.6139,60.93,89,74,7.0
75,Bluff,NZ,2021-09-09 04:06:45,-46.6,168.3333,55.8,64,100,34.31
76,Nikolskoye,RU,2021-09-09 04:06:45,59.7035,30.7861,59.02,92,90,8.61
77,Yellowknife,CA,2021-09-09 04:06:46,62.456,-114.3525,50.79,84,100,5.7
78,Mar Del Plata,AR,2021-09-09 04:04:07,-38.0023,-57.5575,51.82,100,90,32.21
79,Airai,TL,2021-09-09 04:06:46,-8.9266,125.4092,71.71,55,89,6.6
80,Vikulovo,RU,2021-09-09 04:06:47,56.8167,70.6107,45.25,90,100,7.07
81,Inuvik,CA,2021-09-09 04:06:47,68.3499,-133.7218,53.78,64,75,7.18
82,Pisco,PE,2021-09-09 04:06:48,-13.7,-76.2167,60.03,88,6,11.5
83,Luanda,AO,2021-09-09 04:06:48,-8.8368,13.2343,72.77,85,98,6.82
84,Hun,LY,2021-09-09 04:06:48,29.1268,15.9477,73.08,67,0,5.08
85,Kruisfontein,ZA,2021-09-09 04:06:49,-34.0033,24.7314,48.51,89,100,5.75
86,Namibe,AO,2021-09-09 04:06:49,-15.1961,12.1522,64.51,93,0,1.1
87,Gigante,CO,2021-09-09 04:06:50,2.3868,-75.5453,68.36,84,89,3.27
88,Labuhan,ID,2021-09-09 04:06:50,-6.8844,112.2051,87.19,53,46,4.27
89,Diffa,NE,2021-09-09 04:06:50,13.3154,12.6113,81.3,58,80,7.76
90,Vao,NC,2021-09-09 04:06:51,-22.6667,167.4833,68.25,60,100,19.39
91,Albany,US,2021-09-09 04:05:56,42.6001,-73.9662,66.27,94,100,2.82
92,Rikitea,PF,2021-09-09 04:06:51,-23.1203,-134.9692,74.19,79,58,17.47
93,Murgab,TM,2021-09-09 04:06:52,37.4966,61.9714,76.05,25,0,12.97
94,Atherton,GB,2021-09-09 04:06:52,53.5237,-2.4935,66.22,87,100,1.01
95,Mimongo,GA,2021-09-09 04:06:52,-1.6195,11.6068,68.7,95,61,2.17
96,Dakar,SN,2021-09-09 04:01:59,14.6937,-17.4441,79.68,81,61,7.52
97,Hilter,DE,2021-09-09 04:06:53,52.15,8.15,61.29,79,23,5.86
98,Faanui,PF,2021-09-09 04:06:53,-16.4833,-151.75,78.84,72,17,11.56
99,Yulara,AU,2021-09-09 04:06:54,-25.2406,130.9889,80.44,8,2,3.44
100,Ponta Do Sol,PT,2021-09-09 04:06:54,32.6667,-17.1,74.03,80,5,1.01
101,Bonavista,CA,2021-09-09 04:06:54,48.6499,-53.1147,55.11,89,4,10.71
102,Matay,EG,2021-09-09 04:06:55,28.419,30.7792,81.03,56,0,7.14
103,Newport,GB,2021-09-09 04:06:55,51.5877,-2.9984,64.08,91,82,3.33
104,Moron,AR,2021-09-09 04:06:56,-34.6534,-58.6198,56.95,98,90,1.01
105,New Norfolk,AU,2021-09-09 04:06:56,-42.7826,147.0587,53.1,75,100,3.0
106,Jalu,LY,2021-09-09 04:06:56,29.0331,21.5482,72.84,64,0,7.14
107,Vardo,NO,2021-09-09 04:06:57,70.3705,31.1107,37.6,87,95,20.02
108,Breisach,DE,2021-09-09 04:06:57,48.0333,7.5833,66.99,82,0,5.75
109,Iqaluit,CA,2021-09-09 04:06:57,63.7506,-68.5145,40.23,63,48,10.31
110,Lata,PT,2021-09-09 04:06:58,40.1629,-8.3327,67.93,98,62,2.42
111,Belyy Yar,RU,2021-09-09 04:06:58,53.6039,91.3903,62.49,77,40,6.71
112,Port Keats,AU,2021-09-09 04:06:58,-14.25,129.55,93.31,27,9,8.46
113,Beringovskiy,RU,2021-09-09 04:06:59,63.05,179.3167,43.09,66,82,5.26
114,Lebu,CL,2021-09-09 04:06:59,-37.6167,-73.65,48.96,87,100,12.77
115,Lagoa,PT,2021-09-09 04:06:59,39.05,-27.9833,71.02,87,58,11.68
116,Kavaratti,IN,2021-09-09 04:07:00,10.5669,72.642,81.57,78,10,13.24
117,Male,MV,2021-09-09 04:02:29,4.1748,73.5089,82.08,69,96,4.12
118,Chingirlau,KZ,2021-09-09 04:07:00,51.095,54.0814,58.68,40,84,12.8
119,Mutoko,ZW,2021-09-09 04:07:00,-17.397,32.2268,49.87,88,0,2.37
120,Arraial Do Cabo,BR,2021-09-09 04:07:01,-22.9661,-42.0278,70.63,87,47,31.61
121,Bartica,GY,2021-09-09 04:07:01,6.4,-58.6167,77.32,99,100,2.44
122,Christchurch,NZ,2021-09-09 04:04:04,-43.5333,172.6333,62.8,36,72,19.57
123,Sinnamary,GF,2021-09-09 04:07:02,5.3833,-52.95,78.66,87,32,10.36
